candidate_id,source_bundle,source_path,record_type,field_key,rule_type,severity,suggested_requirement,pattern_or_condition,message,notes
tmf_uuid_extract_fileidentifier,tmf-scripts-MCD001_Abiola,xml-uuid-scraper-nct478-main/uuidscraper.py,collection,fileId,presence,block,required,,Record should include file identifier for UUID mapping,Derived from UUID scraper assumptions
tmf_uuid_extract_uuid_attr,tmf-scripts-MCD001_Abiola,xml-uuid-scraper-nct478-main/uuidscraper.py,collection,ident.collectionUuid,pattern,warn,recommended,^[0-9a-fA-F-]{36}$,Collection UUID should be present and UUID-shaped,Promote to block when upstream UUID policy is finalized
tmf_linkcheck_url_nodes,tmf-scripts-MCD001_Abiola,xml-link-checker-nct470-main/linkchecker.py,collection,distribution.onlineResources,presence,block,required,,Record should include at least one URL-bearing online resource,TMF checker extracts gmd:URL and gmx:Anchor @xlink:href
tmf_linkcheck_anchor_href,tmf-scripts-MCD001_Abiola,xml-link-checker-nct470-main/linkchecker.py,collection,distribution.onlineResources,pattern,block,required,^https?://,Online resource links should be absolute HTTP(S) URLs,Aligns with linkcheck lane expectations
tmf_license_docucomp_statement,tmf-scripts-MCD001_Abiola,add-data-licensing-information-main/datalicensing.py,collection,mission.dataLicensePreset,presence,block,required,,Record should include data license resourceConstraints statement,Derived from TMF automation that inserts Docucomp license component
tmf_license_docucomp_href,tmf-scripts-MCD001_Abiola,add-data-licensing-information-main/datalicensing.py,collection,mission.licenseUrl,pattern,block,required,^https://data\\.noaa\\.gov/docucomp/[0-9a-fA-F-]{36}$,License URL should reference valid Docucomp component UUID,Matches Docucomp-centric licensing practice
tmf_keywords_anchor_upgrade,tmf-scripts-MCD001_Abiola,gulf-of-america-keywords-main/goakeywords_updated.py,collection,keywords.theme,pattern,warn,recommended,https://gcmd\\.earthdata\\.nasa\\.gov/kms/concept/,Theme keywords should carry GCMD concept links where available,TMF script upgrades CharacterString keywords to Anchor+href
tmf_keywords_theme_presence,tmf-scripts-MCD001_Abiola,iso-keyword-automation-nct412-main/insert_iso_keywords.py,collection,keywords.theme,presence,block,required,,Theme keywords should be present for discovery,Backs existing NCEI/OER required-field gates
tmf_keywords_place_presence,tmf-scripts-MCD001_Abiola,iso-keyword-automation-nct412-main/insert_iso_keywords.py,collection,keywords.place,presence,block,required,,Place keywords should be present for geographic discovery,Complements theme keyword requirement
tmf_keywords_instrument_presence,tmf-scripts-MCD001_Abiola,iso-keyword-automation-nct412-main/insert_iso_keywords.py,collection,keywords.instrument,presence,warn,recommended,,Instrument keywords should be present when instrumentation is known,Promote to block for instrument-heavy domains
tmf_goes_variant_keyword_consistency,tmf-scripts-MCD001_Abiola,updated-goes-19-keywords-main/goeskeywords_updated.py,collection,keywords.theme,condition,warn,recommended,if GOES-16/17/18 present then include GOES-19 where policy requires,GOES family keyword set should remain internally consistent,Domain-specific TMF campaign rule
tmf_image_id_mapping_fileidentifier,tmf-scripts-MCD001_Abiola,image-url-and-metadata-id-finder-nct-472-main/idimagescraper.py,collection,fileId,presence,block,required,,fileIdentifier should be present for image URL/metadata ID mapping,Supports downstream asset-link enrichment
tmf_image_access_link_presence,tmf-scripts-MCD001_Abiola,image-url-and-metadata-id-finder-nct-472-main/updateimage.py,collection,distribution.onlineResources,presence,warn,recommended,,Image/preview access links should be present when media assets exist,Can feed advisory lane until strict policy set
